"QUELLE_SCHEMA","ZIEL_SCHEMA","TABELLE","SPALTE","PROBLEM","QUELLE_TYP","QUELLE_LAENGE","QUELLE_NULLABLE","ZIEL_TYP","ZIEL_LAENGE","ZIEL_NULLABLE"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_ASAT","ASD_ARBZEIT","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_ASAT","ASD_MASSNAHMEART","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_ASAT","ASD_STDWOCHE","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_AUWM","RAM_OS_OS","LAENGE_ZU_KLEIN","VARCHAR2",255,"Y","VARCHAR2",24,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BGS","BIL_MIT_AFBG_FOERD","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BOMM","BMM_ART","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BOMZ","BMT_DIVERS","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BOMZ","BMT_SCHULART","QUELLE_ONLY","VARCHAR2",3,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBM","BVM_OS_OS","LAENGE_ZU_KLEIN","VARCHAR2",255,"Y","VARCHAR2",24,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_ZIELGRP_1","LAENGE_ZU_KLEIN","VARCHAR2",2,"Y","VARCHAR2",1,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_ZIELGRP_2","LAENGE_ZU_KLEIN","VARCHAR2",2,"Y","VARCHAR2",1,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_ZIELGRP_3","LAENGE_ZU_KLEIN","VARCHAR2",2,"Y","VARCHAR2",1,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_FOLGETN_ID","QUELLE_ONLY","VARCHAR2",36,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_KOMP_ANALYSE","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_MASSNAHMEFORM","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_STUNDEN","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BVBT","BVT_VORTN_ID","QUELLE_ONLY","VARCHAR2",36,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BZSC","BZS_BETRIEBROLLE","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_BZSC","BZS_GUELTIG_AB","QUELLE_ONLY","VARCHAR2",8,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FBWM","FMN_BM_KOSTEN_GESAMT","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FBWM","FMN_BM_TN_ANZAHL","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FBWM","FMN_ZUL_ZUGEL_MNFORM","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FBWT","TNF_MIT_AFBG_FOERD","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FBWT","TNF_WEITERBILDUNGSGELD","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FSAM","FSM_BM_KOSTEN_GESAMT","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_FSAM","FSM_BM_TN_ANZAHL","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KMG1","KM1_ZUGEL_MNFORM","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KMG4","KM4_ZUGEL_MNFORM","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KMG5","KM5_ZUGEL_MNFORM","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KNGS","KGS_OS_OS","LAENGE_ZU_KLEIN","VARCHAR2",255,"Y","VARCHAR2",24,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KNTN_BB","KNT_KUNR","QUELLE_ONLY","VARCHAR2",10,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KPBI","PBA_ANTRAGSDATUM","QUELLE_ONLY","VARCHAR2",8,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_KPBT","KBT_OS_OS","LAENGE_ZU_KLEIN","VARCHAR2",255,"Y","VARCHAR2",24,"Y"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_MATA","TAR_BBMAKO_TLN_SUM","QUELLE_ONLY","NUMBER",22,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_MATT","MAT_TEILNAHMEMODUS","QUELLE_ONLY","VARCHAR2",2,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_MGBP","GBP_NACHBETREUUNG","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_SOZT","SZT_ED","TYP_MISMATCH","DATE",7,"N","TIMESTAMP(6)",11,"N"
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_TAMP","TAP_KUNR_BETRIEB","QUELLE_ONLY","VARCHAR2",10,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_TAMT","TAT_NACHBETREUUNG_FRAGE1","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_TAMT","TAT_NACHBETREUUNG_FRAGE2","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
"PSD1_DWL_FST","SVS41WL_FST","TL_DWL_TAMT","TAT_NACHBETREUUNG_FRAGE3","QUELLE_ONLY","VARCHAR2",1,"Y","",,""
